Header Length,5
Powered by Labfront
Documentation,https://help.labfront.com/data-documentation
projectId,projectTitle,participantId,participantInsignia,batchId,methodId,firstSampleUnixTimestampInMs,lastSampleUnixTimestampInMs
2f38ca27-bac7-476c-b735-95faf7ba3c1d,QA Template: Garmin Full Test,6732ab82-077a-4bfd-8f89-246aba683253,sample_participant_01,9a01a9a6-b720-475b-a0c9-b7312b0ed952,d2c5013a-26e5-461e-b3d0-1f6b216a7f37,1672675200000,1675443060000

timezoneOffsetInMs,unixTimestampInMs,isoDate,stressLevel,bodyBattery
28800000,1672688880000,2023-01-03T03:48:00.000+08:00,-1,
28800000,1672689060000,2023-01-03T03:51:00.000+08:00,-1,
28800000,1672689240000,2023-01-03T03:54:00.000+08:00,-1,
28800000,1672689420000,2023-01-03T03:57:00.000+08:00,-1,
28800000,1672689600000,2023-01-03T04:00:00.000+08:00,-1,
28800000,1672689780000,2023-01-03T04:03:00.000+08:00,-1,
28800000,1672689960000,2023-01-03T04:06:00.000+08:00,-1,
28800000,1672690140000,2023-01-03T04:09:00.000+08:00,-1,
28800000,1672690320000,2023-01-03T04:12:00.000+08:00,-1,
28800000,1672690500000,2023-01-03T04:15:00.000+08:00,-1,
28800000,1672690680000,2023-01-03T04:18:00.000+08:00,-1,
28800000,1672690860000,2023-01-03T04:21:00.000+08:00,-1,
28800000,1672691040000,2023-01-03T04:24:00.000+08:00,-1,
28800000,1672691220000,2023-01-03T04:27:00.000+08:00,-1,
28800000,1672691400000,2023-01-03T04:30:00.000+08:00,-1,
28800000,1672691580000,2023-01-03T04:33:00.000+08:00,-1,
28800000,1672691760000,2023-01-03T04:36:00.000+08:00,-1,
28800000,1672691940000,2023-01-03T04:39:00.000+08:00,-1,
28800000,1672692120000,2023-01-03T04:42:00.000+08:00,-1,
28800000,1672692300000,2023-01-03T04:45:00.000+08:00,-1,
28800000,1672692480000,2023-01-03T04:48:00.000+08:00,-1,
28800000,1672692660000,2023-01-03T04:51:00.000+08:00,-1,
28800000,1672692840000,2023-01-03T04:54:00.000+08:00,-1,
28800000,1672693020000,2023-01-03T04:57:00.000+08:00,-1,
28800000,1672693200000,2023-01-03T05:00:00.000+08:00,-1,
28800000,1672693380000,2023-01-03T05:03:00.000+08:00,-1,
28800000,1672693560000,2023-01-03T05:06:00.000+08:00,-1,
28800000,1672693740000,2023-01-03T05:09:00.000+08:00,-1,
28800000,1672693920000,2023-01-03T05:12:00.000+08:00,-1,
28800000,1672694100000,2023-01-03T05:15:00.000+08:00,-1,
28800000,1672694280000,2023-01-03T05:18:00.000+08:00,-1,
28800000,1672694460000,2023-01-03T05:21:00.000+08:00,-1,
28800000,1672694640000,2023-01-03T05:24:00.000+08:00,-1,
28800000,1672694820000,2023-01-03T05:27:00.000+08:00,-1,
28800000,1672695000000,2023-01-03T05:30:00.000+08:00,-1,
28800000,1672695180000,2023-01-03T05:33:00.000+08:00,-1,
28800000,1672695360000,2023-01-03T05:36:00.000+08:00,-1,
28800000,1672695540000,2023-01-03T05:39:00.000+08:00,-1,
28800000,1672695720000,2023-01-03T05:42:00.000+08:00,-1,
28800000,1672695900000,2023-01-03T05:45:00.000+08:00,-1,
28800000,1672696080000,2023-01-03T05:48:00.000+08:00,-1,
28800000,1672696260000,2023-01-03T05:51:00.000+08:00,-1,
28800000,1672696440000,2023-01-03T05:54:00.000+08:00,-1,
28800000,1672696620000,2023-01-03T05:57:00.000+08:00,-1,
28800000,1672696800000,2023-01-03T06:00:00.000+08:00,-1,
28800000,1672696980000,2023-01-03T06:03:00.000+08:00,-1,
28800000,1672697160000,2023-01-03T06:06:00.000+08:00,-1,
28800000,1672697340000,2023-01-03T06:09:00.000+08:00,-1,
28800000,1672697520000,2023-01-03T06:12:00.000+08:00,-1,
28800000,1672697700000,2023-01-03T06:15:00.000+08:00,-1,
28800000,1672697880000,2023-01-03T06:18:00.000+08:00,-1,
28800000,1672698060000,2023-01-03T06:21:00.000+08:00,-1,
28800000,1672698240000,2023-01-03T06:24:00.000+08:00,-1,
28800000,1672698420000,2023-01-03T06:27:00.000+08:00,-1,
28800000,1672698600000,2023-01-03T06:30:00.000+08:00,-1,
28800000,1672698780000,2023-01-03T06:33:00.000+08:00,-1,
28800000,1672698960000,2023-01-03T06:36:00.000+08:00,-1,
28800000,1672699140000,2023-01-03T06:39:00.000+08:00,-1,
28800000,1672699320000,2023-01-03T06:42:00.000+08:00,-1,
28800000,1672699500000,2023-01-03T06:45:00.000+08:00,-1,
28800000,1672699680000,2023-01-03T06:48:00.000+08:00,-1,
28800000,1672699860000,2023-01-03T06:51:00.000+08:00,-1,
28800000,1672700040000,2023-01-03T06:54:00.000+08:00,-1,
28800000,1672700220000,2023-01-03T06:57:00.000+08:00,-1,
28800000,1672700400000,2023-01-03T07:00:00.000+08:00,-1,
28800000,1672700580000,2023-01-03T07:03:00.000+08:00,-1,
28800000,1672700760000,2023-01-03T07:06:00.000+08:00,-1,
28800000,1672700940000,2023-01-03T07:09:00.000+08:00,-1,
28800000,1672701120000,2023-01-03T07:12:00.000+08:00,-1,
28800000,1672701300000,2023-01-03T07:15:00.000+08:00,-1,
28800000,1672701480000,2023-01-03T07:18:00.000+08:00,-1,
28800000,1672701660000,2023-01-03T07:21:00.000+08:00,-1,
28800000,1672701840000,2023-01-03T07:24:00.000+08:00,-1,
28800000,1672702020000,2023-01-03T07:27:00.000+08:00,-1,
28800000,1672702200000,2023-01-03T07:30:00.000+08:00,-1,
28800000,1672702380000,2023-01-03T07:33:00.000+08:00,-1,
