Header Length,5
Powered by Labfront
Documentation,https://help.labfront.com/data-documentation
projectId,projectTitle,participantId,participantInsignia,batchId,methodId,taskId,taskScheduleRepeat,taskScheduleDescription,todoId,todoName,todoDescription,firstSampleUnixTimestampInMs,lastSampleUnixTimestampInMs
2f38ca27-bac7-476c-b735-95faf7ba3c1d,QA Template: Garmin Full Test,6732ab82-077a-4bfd-8f89-246aba683253,sample_participant_01,9a01a9a6-b720-475b-a0c9-b7312b0ed952,d2c5013a-26e5-461e-b3d0-1f6b216a7f37,fe43f539-35f7-4f87-9ba1-7ac1a91632b9,true,Every time you open app,eea600b1-f174-41d7-942a-868e1edb6692,Opened App,Complete this when you open app (repeating todo),1675166622800,1675243432872

timezone,unixTimestampInMs,isoDate
Asia/Taipei,1675166622800,2023-01-31T20:03:42.800+08:00
Asia/Taipei,1675243432872,2023-02-01T17:23:52.872+08:00
