Header Length,5
Powered by Labfront
Documentation,https://help.labfront.com/data-documentation
projectId,projectTitle,participantId,participantInsignia,batchId,methodId,taskId,taskScheduleRepeat,taskScheduleDescription,garminDeviceId,sampleRateInMs,firstSampleUnixTimestampInMs,lastSampleUnixTimestampInMs
2f38ca27-bac7-476c-b735-95faf7ba3c1d,QA Template: Garmin Full Test,6732ab82-077a-4bfd-8f89-246aba683253,sample_participant_01,9a01a9a6-b720-475b-a0c9-b7312b0ed952,d2c5013a-26e5-461e-b3d0-1f6b216a7f37,1725e82d-8800-4fd7-a12f-a712238e949e,false,,dba71865-d874-421e-a324-1ecc7df9b5a0,3600,1675166427000,1675641824000

timezone,unixTimestampInMs,isoDate,deviceType,spo2
Asia/Taipei,1675440222000,2023-02-04T00:03:42.000+08:00,,99
Asia/Taipei,1675443822000,2023-02-04T01:03:42.000+08:00,,99
Asia/Taipei,1675447422000,2023-02-04T02:03:42.000+08:00,,99
Asia/Taipei,1675451022000,2023-02-04T03:03:42.000+08:00,,99
Asia/Taipei,1675454622000,2023-02-04T04:03:42.000+08:00,,99
Asia/Taipei,1675458222000,2023-02-04T05:03:42.000+08:00,,99
Asia/Taipei,1675461822000,2023-02-04T06:03:42.000+08:00,,99
Asia/Taipei,1675465422000,2023-02-04T07:03:42.000+08:00,,99
Asia/Taipei,1675469022000,2023-02-04T08:03:42.000+08:00,,99
Asia/Taipei,1675472622000,2023-02-04T09:03:42.000+08:00,,99
Asia/Taipei,1675476222000,2023-02-04T10:03:42.000+08:00,,99
Asia/Taipei,1675479822000,2023-02-04T11:03:42.000+08:00,,99
Asia/Taipei,1675483422000,2023-02-04T12:03:42.000+08:00,,99
Asia/Taipei,1675487022000,2023-02-04T13:03:42.000+08:00,,99
Asia/Taipei,1675490622000,2023-02-04T14:03:42.000+08:00,,99
Asia/Taipei,1675494222000,2023-02-04T15:03:42.000+08:00,,99
Asia/Taipei,1675497822000,2023-02-04T16:03:42.000+08:00,,99
Asia/Taipei,1675501422000,2023-02-04T17:03:42.000+08:00,,99
Asia/Taipei,1675505022000,2023-02-04T18:03:42.000+08:00,,99
Asia/Taipei,1675508622000,2023-02-04T19:03:42.000+08:00,,99
Asia/Taipei,1675512222000,2023-02-04T20:03:42.000+08:00,,99
Asia/Taipei,1675515822000,2023-02-04T21:03:42.000+08:00,,99
Asia/Taipei,1675519422000,2023-02-04T22:03:42.000+08:00,,99
Asia/Taipei,1675523022000,2023-02-04T23:03:42.000+08:00,,99
Asia/Taipei,1675526623000,2023-02-05T00:03:43.000+08:00,,99
Asia/Taipei,1675530223000,2023-02-05T01:03:43.000+08:00,,99
Asia/Taipei,1675533823000,2023-02-05T02:03:43.000+08:00,,99
Asia/Taipei,1675537423000,2023-02-05T03:03:43.000+08:00,,99
Asia/Taipei,1675541023000,2023-02-05T04:03:43.000+08:00,,99
Asia/Taipei,1675544623000,2023-02-05T05:03:43.000+08:00,,99
Asia/Taipei,1675548223000,2023-02-05T06:03:43.000+08:00,,99
Asia/Taipei,1675551823000,2023-02-05T07:03:43.000+08:00,,99
Asia/Taipei,1675555423000,2023-02-05T08:03:43.000+08:00,,99
Asia/Taipei,1675559023000,2023-02-05T09:03:43.000+08:00,,99
Asia/Taipei,1675562623000,2023-02-05T10:03:43.000+08:00,,99
Asia/Taipei,1675566223000,2023-02-05T11:03:43.000+08:00,,99
Asia/Taipei,1675569823000,2023-02-05T12:03:43.000+08:00,,99
Asia/Taipei,1675573423000,2023-02-05T13:03:43.000+08:00,,99
Asia/Taipei,1675577023000,2023-02-05T14:03:43.000+08:00,,99
Asia/Taipei,1675580623000,2023-02-05T15:03:43.000+08:00,,99
Asia/Taipei,1675584223000,2023-02-05T16:03:43.000+08:00,,99
Asia/Taipei,1675587823000,2023-02-05T17:03:43.000+08:00,,99
Asia/Taipei,1675591423000,2023-02-05T18:03:43.000+08:00,,99
Asia/Taipei,1675595023000,2023-02-05T19:03:43.000+08:00,,99
Asia/Taipei,1675598623000,2023-02-05T20:03:43.000+08:00,,99
Asia/Taipei,1675602223000,2023-02-05T21:03:43.000+08:00,,99
Asia/Taipei,1675605823000,2023-02-05T22:03:43.000+08:00,,99
Asia/Taipei,1675609423000,2023-02-05T23:03:43.000+08:00,,99
Asia/Taipei,1675613024000,2023-02-06T00:03:44.000+08:00,,99
Asia/Taipei,1675616624000,2023-02-06T01:03:44.000+08:00,,99
Asia/Taipei,1675620224000,2023-02-06T02:03:44.000+08:00,,99
Asia/Taipei,1675623824000,2023-02-06T03:03:44.000+08:00,,99
Asia/Taipei,1675627424000,2023-02-06T04:03:44.000+08:00,,99
Asia/Taipei,1675631024000,2023-02-06T05:03:44.000+08:00,,99
Asia/Taipei,1675634624000,2023-02-06T06:03:44.000+08:00,,99
Asia/Taipei,1675638224000,2023-02-06T07:03:44.000+08:00,,99
Asia/Taipei,1675641824000,2023-02-06T08:03:44.000+08:00,,99
