Header Length,5
Powered by Labfront
Documentation,https://help.labfront.com/data-documentation
projectId,projectTitle,participantId,participantInsignia,batchId,methodId,firstSampleUnixTimestampInMs,lastSampleUnixTimestampInMs
2f38ca27-bac7-476c-b735-95faf7ba3c1d,QA Template: Garmin Full Test,6732ab82-077a-4bfd-8f89-246aba683253,sample_participant_01,9a01a9a6-b720-475b-a0c9-b7312b0ed952,d2c5013a-26e5-461e-b3d0-1f6b216a7f37,1672719795000,1675402140000

dailySummaryId,timezoneOffsetInMs,unixTimestampInMs,isoDate,beatsPerMinute
x4a83fca-63b2ff80-15180-6,28800000,1672719795000,2023-01-03T12:23:15.000+08:00,73
x4a83fca-63b2ff80-15180-6,28800000,1672719810000,2023-01-03T12:23:30.000+08:00,73
x4a83fca-63b2ff80-15180-6,28800000,1672719825000,2023-01-03T12:23:45.000+08:00,73
x4a83fca-63b2ff80-15180-6,28800000,1672719840000,2023-01-03T12:24:00.000+08:00,73
x4a83fca-63b2ff80-15180-6,28800000,1672720935000,2023-01-03T12:42:15.000+08:00,71
x4a83fca-63b2ff80-15180-6,28800000,1672720950000,2023-01-03T12:42:30.000+08:00,71
x4a83fca-63b2ff80-15180-6,28800000,1672720965000,2023-01-03T12:42:45.000+08:00,71
x4a83fca-63b2ff80-15180-6,28800000,1672720980000,2023-01-03T12:43:00.000+08:00,71
x4a83fca-63b2ff80-15180-6,28800000,1672740675000,2023-01-03T18:11:15.000+08:00,79
x4a83fca-63b2ff80-15180-6,28800000,1672740690000,2023-01-03T18:11:30.000+08:00,79
x4a83fca-63b2ff80-15180-6,28800000,1672740705000,2023-01-03T18:11:45.000+08:00,79
x4a83fca-63b2ff80-15180-6,28800000,1672740720000,2023-01-03T18:12:00.000+08:00,79
x4a83fca-63b2ff80-15180-6,28800000,1672740735000,2023-01-03T18:12:15.000+08:00,73
x4a83fca-63b2ff80-15180-6,28800000,1672740750000,2023-01-03T18:12:30.000+08:00,73
x4a83fca-63b2ff80-15180-6,28800000,1672740765000,2023-01-03T18:12:45.000+08:00,73
x4a83fca-63b2ff80-15180-6,28800000,1672740780000,2023-01-03T18:13:00.000+08:00,73
x4a83fca-63b2ff80-15180-6,28800000,1672740795000,2023-01-03T18:13:15.000+08:00,73
x4a83fca-63b2ff80-15180-6,28800000,1672740810000,2023-01-03T18:13:30.000+08:00,73
x4a83fca-63b2ff80-15180-6,28800000,1672740825000,2023-01-03T18:13:45.000+08:00,73
x4a83fca-63b2ff80-15180-6,28800000,1672740840000,2023-01-03T18:14:00.000+08:00,73
x4a83fca-63b2ff80-15180-6,28800000,1672740855000,2023-01-03T18:14:15.000+08:00,72
x4a83fca-63b2ff80-15180-6,28800000,1672740870000,2023-01-03T18:14:30.000+08:00,72
x4a83fca-63b2ff80-15180-6,28800000,1672740885000,2023-01-03T18:14:45.000+08:00,72
x4a83fca-63b2ff80-15180-6,28800000,1672740900000,2023-01-03T18:15:00.000+08:00,72
x4a83fca-63b2ff80-15180-6,28800000,1672740915000,2023-01-03T18:15:15.000+08:00,72
x4a83fca-63b2ff80-15180-6,28800000,1672740930000,2023-01-03T18:15:30.000+08:00,72
x4a83fca-63b2ff80-15180-6,28800000,1672740945000,2023-01-03T18:15:45.000+08:00,72
x4a83fca-63b2ff80-15180-6,28800000,1672740960000,2023-01-03T18:16:00.000+08:00,72
x4a83fca-63b2ff80-15180-6,28800000,1672740975000,2023-01-03T18:16:15.000+08:00,71
x4a83fca-63b2ff80-15180-6,28800000,1672740990000,2023-01-03T18:16:30.000+08:00,71
x4a83fca-63b2ff80-15180-6,28800000,1672741005000,2023-01-03T18:16:45.000+08:00,71
x4a83fca-63b2ff80-15180-6,28800000,1672741020000,2023-01-03T18:17:00.000+08:00,71
x4a83fca-63b2ff80-15180-6,28800000,1672741035000,2023-01-03T18:17:15.000+08:00,72
x4a83fca-63b2ff80-15180-6,28800000,1672741050000,2023-01-03T18:17:30.000+08:00,72
x4a83fca-63b2ff80-15180-6,28800000,1672741065000,2023-01-03T18:17:45.000+08:00,72
x4a83fca-63b2ff80-15180-6,28800000,1672741080000,2023-01-03T18:18:00.000+08:00,72
x4a83fca-63b2ff80-15180-6,28800000,1672741095000,2023-01-03T18:18:15.000+08:00,74
x4a83fca-63b2ff80-15180-6,28800000,1672741110000,2023-01-03T18:18:30.000+08:00,74
x4a83fca-63b2ff80-15180-6,28800000,1672741125000,2023-01-03T18:18:45.000+08:00,74
x4a83fca-63b2ff80-15180-6,28800000,1672741140000,2023-01-03T18:19:00.000+08:00,74
x4a83fca-63b2ff80-15180-6,28800000,1672741155000,2023-01-03T18:19:15.000+08:00,75
x4a83fca-63b2ff80-15180-6,28800000,1672741170000,2023-01-03T18:19:30.000+08:00,75
x4a83fca-63b2ff80-15180-6,28800000,1672741185000,2023-01-03T18:19:45.000+08:00,75
x4a83fca-63b2ff80-15180-6,28800000,1672741200000,2023-01-03T18:20:00.000+08:00,75
x4a83fca-63b2ff80-15180-6,28800000,1672741215000,2023-01-03T18:20:15.000+08:00,75
x4a83fca-63b2ff80-15180-6,28800000,1672741230000,2023-01-03T18:20:30.000+08:00,75
x4a83fca-63b2ff80-15180-6,28800000,1672741245000,2023-01-03T18:20:45.000+08:00,75
x4a83fca-63b2ff80-15180-6,28800000,1672741260000,2023-01-03T18:21:00.000+08:00,75
x4a83fca-63b2ff80-15180-6,28800000,1672741275000,2023-01-03T18:21:15.000+08:00,79
x4a83fca-63b2ff80-15180-6,28800000,1672741290000,2023-01-03T18:21:30.000+08:00,79
x4a83fca-63b2ff80-15180-6,28800000,1672741305000,2023-01-03T18:21:45.000+08:00,79
x4a83fca-63b2ff80-15180-6,28800000,1672741320000,2023-01-03T18:22:00.000+08:00,79
x4a83fca-63b2ff80-15180-6,28800000,1672741335000,2023-01-03T18:22:15.000+08:00,78
x4a83fca-63b2ff80-15180-6,28800000,1672741350000,2023-01-03T18:22:30.000+08:00,78
x4a83fca-63b2ff80-15180-6,28800000,1672741365000,2023-01-03T18:22:45.000+08:00,78
x4a83fca-63b2ff80-15180-6,28800000,1672741380000,2023-01-03T18:23:00.000+08:00,78
x4a83fca-63b2ff80-15180-6,28800000,1672741395000,2023-01-03T18:23:15.000+08:00,79
x4a83fca-63b2ff80-15180-6,28800000,1672741410000,2023-01-03T18:23:30.000+08:00,79
x4a83fca-63b2ff80-15180-6,28800000,1672741425000,2023-01-03T18:23:45.000+08:00,79
x4a83fca-63b2ff80-15180-6,28800000,1672741440000,2023-01-03T18:24:00.000+08:00,79
x4a83fca-63b2ff80-15180-6,28800000,1672741455000,2023-01-03T18:24:15.000+08:00,73
x4a83fca-63b2ff80-15180-6,28800000,1672741470000,2023-01-03T18:24:30.000+08:00,73
x4a83fca-63b2ff80-15180-6,28800000,1672741485000,2023-01-03T18:24:45.000+08:00,73
x4a83fca-63b2ff80-15180-6,28800000,1672741500000,2023-01-03T18:25:00.000+08:00,73
x4a83fca-63b2ff80-15180-6,28800000,1672741515000,2023-01-03T18:25:15.000+08:00,72
x4a83fca-63b2ff80-15180-6,28800000,1672741530000,2023-01-03T18:25:30.000+08:00,72
x4a83fca-63b2ff80-15180-6,28800000,1672741545000,2023-01-03T18:25:45.000+08:00,72
x4a83fca-63b2ff80-15180-6,28800000,1672741560000,2023-01-03T18:26:00.000+08:00,72
x4a83fca-63b2ff80-15180-6,28800000,1672741575000,2023-01-03T18:26:15.000+08:00,74
x4a83fca-63b2ff80-15180-6,28800000,1672741590000,2023-01-03T18:26:30.000+08:00,74
x4a83fca-63b2ff80-15180-6,28800000,1672741605000,2023-01-03T18:26:45.000+08:00,74
x4a83fca-63b2ff80-15180-6,28800000,1672741620000,2023-01-03T18:27:00.000+08:00,74
x4a83fca-63b2ff80-15180-6,28800000,1672741635000,2023-01-03T18:27:15.000+08:00,72
x4a83fca-63b2ff80-15180-6,28800000,1672741650000,2023-01-03T18:27:30.000+08:00,72
x4a83fca-63b2ff80-15180-6,28800000,1672741665000,2023-01-03T18:27:45.000+08:00,72
x4a83fca-63b2ff80-15180-6,28800000,1672741680000,2023-01-03T18:28:00.000+08:00,72
x4a83fca-63b2ff80-15180-6,28800000,1672741695000,2023-01-03T18:28:15.000+08:00,71
