Header Length,5
Powered by Labfront
Documentation,https://help.labfront.com/data-documentation
projectId,projectTitle,participantId,participantInsignia,batchId,methodId,taskId,taskScheduleRepeat,taskScheduleDescription,garminDeviceId,firstSampleUnixTimestampInMs,lastSampleUnixTimestampInMs
2f38ca27-bac7-476c-b735-95faf7ba3c1d,QA Template: Garmin Full Test,6732ab82-077a-4bfd-8f89-246aba683253,sample_participant_01,9a01a9a6-b720-475b-a0c9-b7312b0ed952,d2c5013a-26e5-461e-b3d0-1f6b216a7f37,1725e82d-8800-4fd7-a12f-a712238e949e,false,,dba71865-d874-421e-a324-1ecc7df9b5a0,1675166604000,1675402023944

timezone,unixTimestampInMs,isoDate,deviceType,bbi
Asia/Taipei,1675166672040,2023-01-31T20:04:32.040+08:00,garmin_VenuSq2,950
Asia/Taipei,1675166672990,2023-01-31T20:04:32.990+08:00,garmin_VenuSq2,947
Asia/Taipei,1675166674825,2023-01-31T20:04:34.825+08:00,garmin_VenuSq2,982
Asia/Taipei,1675166675807,2023-01-31T20:04:35.807+08:00,garmin_VenuSq2,1072
Asia/Taipei,1675166676879,2023-01-31T20:04:36.879+08:00,garmin_VenuSq2,1062
Asia/Taipei,1675166677941,2023-01-31T20:04:37.941+08:00,garmin_VenuSq2,904
Asia/Taipei,1675166678845,2023-01-31T20:04:38.845+08:00,garmin_VenuSq2,890
Asia/Taipei,1675166679634,2023-01-31T20:04:39.634+08:00,garmin_VenuSq2,878
Asia/Taipei,1675166680512,2023-01-31T20:04:40.512+08:00,garmin_VenuSq2,877
Asia/Taipei,1675166681389,2023-01-31T20:04:41.389+08:00,garmin_VenuSq2,842
Asia/Taipei,1675166682231,2023-01-31T20:04:42.231+08:00,garmin_VenuSq2,847
Asia/Taipei,1675166683078,2023-01-31T20:04:43.078+08:00,garmin_VenuSq2,854
Asia/Taipei,1675166683906,2023-01-31T20:04:43.906+08:00,garmin_VenuSq2,850
Asia/Taipei,1675166684756,2023-01-31T20:04:44.756+08:00,garmin_VenuSq2,819
Asia/Taipei,1675166685575,2023-01-31T20:04:45.575+08:00,garmin_VenuSq2,822
Asia/Taipei,1675166686397,2023-01-31T20:04:46.397+08:00,garmin_VenuSq2,828
Asia/Taipei,1675166687225,2023-01-31T20:04:47.225+08:00,garmin_VenuSq2,885
Asia/Taipei,1675166688059,2023-01-31T20:04:48.059+08:00,garmin_VenuSq2,842
Asia/Taipei,1675166690160,2023-01-31T20:04:50.160+08:00,garmin_VenuSq2,838
Asia/Taipei,1675166690998,2023-01-31T20:04:50.998+08:00,garmin_VenuSq2,796
Asia/Taipei,1675166691794,2023-01-31T20:04:51.794+08:00,garmin_VenuSq2,836
Asia/Taipei,1675166692630,2023-01-31T20:04:52.630+08:00,garmin_VenuSq2,872
Asia/Taipei,1675166693502,2023-01-31T20:04:53.502+08:00,garmin_VenuSq2,876
Asia/Taipei,1675166694447,2023-01-31T20:04:54.447+08:00,garmin_VenuSq2,904
Asia/Taipei,1675166695351,2023-01-31T20:04:55.351+08:00,garmin_VenuSq2,882
Asia/Taipei,1675166696233,2023-01-31T20:04:56.233+08:00,garmin_VenuSq2,870
Asia/Taipei,1675166697103,2023-01-31T20:04:57.103+08:00,garmin_VenuSq2,887
Asia/Taipei,1675166697990,2023-01-31T20:04:57.990+08:00,garmin_VenuSq2,842
Asia/Taipei,1675166699701,2023-01-31T20:04:59.701+08:00,garmin_VenuSq2,771
Asia/Taipei,1675166700472,2023-01-31T20:05:00.472+08:00,garmin_VenuSq2,831
Asia/Taipei,1675166701303,2023-01-31T20:05:01.303+08:00,garmin_VenuSq2,799
Asia/Taipei,1675166702102,2023-01-31T20:05:02.102+08:00,garmin_VenuSq2,929
Asia/Taipei,1675166703031,2023-01-31T20:05:03.031+08:00,garmin_VenuSq2,906
Asia/Taipei,1675166703060,2023-01-31T20:05:03.060+08:00,garmin_VenuSq2,893
Asia/Taipei,1675166703953,2023-01-31T20:05:03.953+08:00,garmin_VenuSq2,886
Asia/Taipei,1675166704839,2023-01-31T20:05:04.839+08:00,garmin_VenuSq2,876
Asia/Taipei,1675166705715,2023-01-31T20:05:05.715+08:00,garmin_VenuSq2,870
Asia/Taipei,1675166706585,2023-01-31T20:05:06.585+08:00,garmin_VenuSq2,865
Asia/Taipei,1675166707420,2023-01-31T20:05:07.420+08:00,garmin_VenuSq2,860
Asia/Taipei,1675166708280,2023-01-31T20:05:08.280+08:00,garmin_VenuSq2,857
Asia/Taipei,1675166709137,2023-01-31T20:05:09.137+08:00,garmin_VenuSq2,863
Asia/Taipei,1675166710000,2023-01-31T20:05:10.000+08:00,garmin_VenuSq2,869
Asia/Taipei,1675166710869,2023-01-31T20:05:10.869+08:00,garmin_VenuSq2,910
Asia/Taipei,1675166713976,2023-01-31T20:05:13.976+08:00,garmin_VenuSq2,917
Asia/Taipei,1675166714893,2023-01-31T20:05:14.893+08:00,garmin_VenuSq2,889
Asia/Taipei,1675166715782,2023-01-31T20:05:15.782+08:00,garmin_VenuSq2,879
Asia/Taipei,1675166716661,2023-01-31T20:05:16.661+08:00,garmin_VenuSq2,871
Asia/Taipei,1675166717532,2023-01-31T20:05:17.532+08:00,garmin_VenuSq2,922
Asia/Taipei,1675166718293,2023-01-31T20:05:18.293+08:00,garmin_VenuSq2,864
Asia/Taipei,1675166719157,2023-01-31T20:05:19.157+08:00,garmin_VenuSq2,840
Asia/Taipei,1675166719997,2023-01-31T20:05:19.997+08:00,garmin_VenuSq2,825
Asia/Taipei,1675166720822,2023-01-31T20:05:20.822+08:00,garmin_VenuSq2,753
Asia/Taipei,1675166721446,2023-01-31T20:05:21.446+08:00,garmin_VenuSq2,746
Asia/Taipei,1675166722192,2023-01-31T20:05:22.192+08:00,garmin_VenuSq2,854
Asia/Taipei,1675166723046,2023-01-31T20:05:23.046+08:00,garmin_VenuSq2,871
Asia/Taipei,1675166723917,2023-01-31T20:05:23.917+08:00,garmin_VenuSq2,866
Asia/Taipei,1675166724783,2023-01-31T20:05:24.783+08:00,garmin_VenuSq2,842
