Header Length,5
Powered by Labfront
Documentation,https://help.labfront.com/data-documentation
projectId,projectTitle,participantId,participantInsignia,batchId,methodId,taskId,taskScheduleRepeat,taskScheduleDescription,garminDeviceId,firstSampleUnixTimestampInMs,lastSampleUnixTimestampInMs
2f38ca27-bac7-476c-b735-95faf7ba3c1d,QA Template: Garmin Full Test,6732ab82-077a-4bfd-8f89-246aba683253,sample_participant_01,9a01a9a6-b720-475b-a0c9-b7312b0ed952,d2c5013a-26e5-461e-b3d0-1f6b216a7f37,1725e82d-8800-4fd7-a12f-a712238e949e,false,,dba71865-d874-421e-a324-1ecc7df9b5a0,1675166467000,1675645200000

timezone,unixTimestampInMs,isoDate,deviceType,durationInMs,steps,totalSteps
Asia/Taipei,1675173180000,2023-01-31T21:53:00.000+08:00,,60,0,726
Asia/Taipei,1675173240000,2023-01-31T21:54:00.000+08:00,,60,0,726
Asia/Taipei,1675173300000,2023-01-31T21:55:00.000+08:00,,60,0,726
Asia/Taipei,1675173360000,2023-01-31T21:56:00.000+08:00,,60,122,848
Asia/Taipei,1675173420000,2023-01-31T21:57:00.000+08:00,,60,0,848
Asia/Taipei,1675173480000,2023-01-31T21:58:00.000+08:00,,60,0,848
Asia/Taipei,1675173540000,2023-01-31T21:59:00.000+08:00,,60,0,848
Asia/Taipei,1675173600000,2023-01-31T22:00:00.000+08:00,,60,88,936
Asia/Taipei,1675173660000,2023-01-31T22:01:00.000+08:00,,60,173,1109
Asia/Taipei,1675173720000,2023-01-31T22:02:00.000+08:00,,60,52,1161
Asia/Taipei,1675173780000,2023-01-31T22:03:00.000+08:00,,60,24,1185
Asia/Taipei,1675173840000,2023-01-31T22:04:00.000+08:00,,60,12,1197
Asia/Taipei,1675173900000,2023-01-31T22:05:00.000+08:00,,60,0,1197
Asia/Taipei,1675173960000,2023-01-31T22:06:00.000+08:00,,60,26,1223
Asia/Taipei,1675174020000,2023-01-31T22:07:00.000+08:00,,60,34,1257
Asia/Taipei,1675174080000,2023-01-31T22:08:00.000+08:00,,60,11,1268
Asia/Taipei,1675174140000,2023-01-31T22:09:00.000+08:00,,60,21,1289
Asia/Taipei,1675174200000,2023-01-31T22:10:00.000+08:00,,60,32,1321
Asia/Taipei,1675174260000,2023-01-31T22:11:00.000+08:00,,60,14,1335
Asia/Taipei,1675174320000,2023-01-31T22:12:00.000+08:00,,60,40,1375
Asia/Taipei,1675174380000,2023-01-31T22:13:00.000+08:00,,60,0,1375
Asia/Taipei,1675174440000,2023-01-31T22:14:00.000+08:00,,60,0,1375
Asia/Taipei,1675174500000,2023-01-31T22:15:00.000+08:00,,60,7,1382
Asia/Taipei,1675174560000,2023-01-31T22:16:00.000+08:00,,60,0,1382
Asia/Taipei,1675174620000,2023-01-31T22:17:00.000+08:00,,60,0,1382
Asia/Taipei,1675174680000,2023-01-31T22:18:00.000+08:00,,60,0,1382
Asia/Taipei,1675174740000,2023-01-31T22:19:00.000+08:00,,60,19,1401
Asia/Taipei,1675174800000,2023-01-31T22:20:00.000+08:00,,60,99,1500
Asia/Taipei,1675174860000,2023-01-31T22:21:00.000+08:00,,60,80,1580
Asia/Taipei,1675174920000,2023-01-31T22:22:00.000+08:00,,60,53,1633
Asia/Taipei,1675174980000,2023-01-31T22:23:00.000+08:00,,60,114,1747
Asia/Taipei,1675175040000,2023-01-31T22:24:00.000+08:00,,60,0,1747
Asia/Taipei,1675175100000,2023-01-31T22:25:00.000+08:00,,60,55,1802
Asia/Taipei,1675175160000,2023-01-31T22:26:00.000+08:00,,60,65,1867
Asia/Taipei,1675175220000,2023-01-31T22:27:00.000+08:00,,60,38,1905
Asia/Taipei,1675175280000,2023-01-31T22:28:00.000+08:00,,60,26,1931
Asia/Taipei,1675175340000,2023-01-31T22:29:00.000+08:00,,60,18,1949
Asia/Taipei,1675175400000,2023-01-31T22:30:00.000+08:00,,60,111,2060
Asia/Taipei,1675175460000,2023-01-31T22:31:00.000+08:00,,60,22,2082
Asia/Taipei,1675175520000,2023-01-31T22:32:00.000+08:00,,60,57,2139
Asia/Taipei,1675175580000,2023-01-31T22:33:00.000+08:00,,60,19,2158
Asia/Taipei,1675175640000,2023-01-31T22:34:00.000+08:00,,60,19,2177
Asia/Taipei,1675175700000,2023-01-31T22:35:00.000+08:00,,60,1,2178
Asia/Taipei,1675175760000,2023-01-31T22:36:00.000+08:00,,60,13,2191
Asia/Taipei,1675175820000,2023-01-31T22:37:00.000+08:00,,60,13,2204
Asia/Taipei,1675175880000,2023-01-31T22:38:00.000+08:00,,60,0,2204
Asia/Taipei,1675175940000,2023-01-31T22:39:00.000+08:00,,60,0,2204
Asia/Taipei,1675176000000,2023-01-31T22:40:00.000+08:00,,60,0,2204
Asia/Taipei,1675176060000,2023-01-31T22:41:00.000+08:00,,60,0,2204
Asia/Taipei,1675176120000,2023-01-31T22:42:00.000+08:00,,60,0,2204
Asia/Taipei,1675176180000,2023-01-31T22:43:00.000+08:00,,60,0,2204
Asia/Taipei,1675176240000,2023-01-31T22:44:00.000+08:00,,60,0,2204
Asia/Taipei,1675176300000,2023-01-31T22:45:00.000+08:00,,60,0,2204
Asia/Taipei,1675176360000,2023-01-31T22:46:00.000+08:00,,60,0,2204
Asia/Taipei,1675176420000,2023-01-31T22:47:00.000+08:00,,60,0,2204
Asia/Taipei,1675176480000,2023-01-31T22:48:00.000+08:00,,60,0,2204
Asia/Taipei,1675176540000,2023-01-31T22:49:00.000+08:00,,60,0,2204
Asia/Taipei,1675176600000,2023-01-31T22:50:00.000+08:00,,60,0,2204
Asia/Taipei,1675176660000,2023-01-31T22:51:00.000+08:00,,60,0,2204
Asia/Taipei,1675176720000,2023-01-31T22:52:00.000+08:00,,60,0,2204
Asia/Taipei,1675176780000,2023-01-31T22:53:00.000+08:00,,60,0,2204
Asia/Taipei,1675176840000,2023-01-31T22:54:00.000+08:00,,60,0,2204
Asia/Taipei,1675176900000,2023-01-31T22:55:00.000+08:00,,60,34,2238
Asia/Taipei,1675176960000,2023-01-31T22:56:00.000+08:00,,60,0,2238
Asia/Taipei,1675177020000,2023-01-31T22:57:00.000+08:00,,60,0,2238
Asia/Taipei,1675177080000,2023-01-31T22:58:00.000+08:00,,60,0,2238
Asia/Taipei,1675177140000,2023-01-31T22:59:00.000+08:00,,60,0,2238
Asia/Taipei,1675177200000,2023-01-31T23:00:00.000+08:00,,60,0,2238
Asia/Taipei,1675177260000,2023-01-31T23:01:00.000+08:00,,60,0,2238
Asia/Taipei,1675177320000,2023-01-31T23:02:00.000+08:00,,60,0,2238
Asia/Taipei,1675177380000,2023-01-31T23:03:00.000+08:00,,60,0,2238
Asia/Taipei,1675177440000,2023-01-31T23:04:00.000+08:00,,60,0,2238
Asia/Taipei,1675177500000,2023-01-31T23:05:00.000+08:00,,60,0,2238
Asia/Taipei,1675177560000,2023-01-31T23:06:00.000+08:00,,60,0,2238
Asia/Taipei,1675177620000,2023-01-31T23:07:00.000+08:00,,60,0,2238
Asia/Taipei,1675177680000,2023-01-31T23:08:00.000+08:00,,60,0,2238
Asia/Taipei,1675177740000,2023-01-31T23:09:00.000+08:00,,60,0,2238
Asia/Taipei,1675177800000,2023-01-31T23:10:00.000+08:00,,60,0,2238
Asia/Taipei,1675177860000,2023-01-31T23:11:00.000+08:00,,60,0,2238
Asia/Taipei,1675177920000,2023-01-31T23:12:00.000+08:00,,60,0,2238
Asia/Taipei,1675177980000,2023-01-31T23:13:00.000+08:00,,60,0,2238
Asia/Taipei,1675178040000,2023-01-31T23:14:00.000+08:00,,60,0,2238
Asia/Taipei,1675178100000,2023-01-31T23:15:00.000+08:00,,60,0,2238
Asia/Taipei,1675178160000,2023-01-31T23:16:00.000+08:00,,60,9,2247
Asia/Taipei,1675178220000,2023-01-31T23:17:00.000+08:00,,60,0,2247
Asia/Taipei,1675178280000,2023-01-31T23:18:00.000+08:00,,60,0,2247
